Registreringsnummer;Fordonets status;Fordonskategori;Märke;Handelsbeteckning;Slagvolym;Tillverkningsnummer;Ägare/innehavaren;Filial;Typ av ägande;Besittningsförhållande;Innehavarens namn;Begränsningar;Typ av överlåtelseanmälan;Intervallet för periodisk besiktning början;Intervallet för periodisk besiktning slut;Besiktning aktuell;CO2 Kombinerat;CO2 Viktat, kombinerat;WLTP CO2 kombinerad;WLTP CO2 viktade, blandad;Drivkraft;Fordonets användningsändamål;Ägarskapets startdatum;Försäkringsbolag;Försäkringens startdatum;Datum för första registrering;Ibruktagningsdatum;Utsläppsklass;Elhybrid;Typ av eldrivet hybridfordon
"=""YHU-776""";avställd/avställt;N1/Paketbil;Dacia;DUSTER;1461;UU1HSDADG50142160;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;30.1.2025;2.2.2026;Ja;135;;;;Dieselolja;Privat;10.4.2024;LähiTapiola;31.3.2025;31.1.2014;31.1.2014;Euro 5;Nej;
"=""ILP-291""";registrerad/registrerat;N1/Paketbil;Dacia;DUSTER;1461;UU1HSDADG50583216;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;31.7.2025;12.8.2026;Ja;135;;;;Dieselolja;Privat;3.8.2023;LähiTapiola;31.3.2025;16.4.2014;16.4.2014;Euro 5;Nej;
"=""SLH-464""";registrerad/registrerat;N1/Paketbil;Dacia;DUSTER;1461;UU1HSDACN48417481;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;16.2.2026;16.2.2027;Ja;137;;;;Dieselolja;Privat;24.9.2024;LähiTapiola;31.3.2025;6.3.2013;6.3.2013;Euro 5;Nej;
"=""NKE-749""";avställd/avställt;N1/Paketbil;Dacia;DUSTER;1461;UU1HSDJ9G54216883;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Befrielse från bilskatt;;19.3.2025;28.4.2026;Ja;123;;;;Dieselolja;Privat;5.4.2024;LähiTapiola;31.3.2025;28.4.2016;28.4.2016;Euro 6;Nej;
"=""CLA-346""";registrerad/registrerat;N1/Paketbil;Dacia;DOKKER;1461;UU18SDPJ558821736;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;20.12.2024;21.12.2026;Ja;108;;;;Dieselolja;Privat;27.12.2023;LähiTapiola;31.3.2025;19.12.2017;19.12.2017;;Nej;
"=""CLC-149""";registrerad/registrerat;N1/Paketbil;Dacia;DUSTER;1461;UU1HSDJ9G58765502;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;5.8.2025;5.8.2027;Ja;123;;;;Dieselolja;Privat;11.9.2024;LähiTapiola;31.3.2025;9.11.2017;9.11.2017;Euro 6;Nej;
"=""CLP-722""";registrerad/registrerat;N1/Paketbil;Dacia;DUSTER;1461;VF1HJD20559755537;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;28.1.2025;28.1.2027;Ja;116;;;;Dieselolja;Privat;28.1.2025;LähiTapiola;31.3.2025;28.3.2018;28.3.2018;Euro 6;Nej;
"=""YJX-921""";registrerad/registrerat;N1/Paketbil;Dacia;DOKKER;1461;UU18SDPJ559944027;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;25.3.2025;25.3.2027;Ja;108;;;;Dieselolja;Privat;25.3.2023;LähiTapiola;31.3.2025;13.3.2018;13.3.2018;;Nej;
"=""CNU-450""";registrerad/registrerat;N1/Paketbil;Dacia;DOKKER;1461;UU18SDPJ563509226;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;9.12.2025;9.12.2027;Ja;108;;;;Dieselolja;Privat;11.11.2024;LähiTapiola;31.3.2025;11.11.2019;11.11.2019;;Nej;
"=""CNU-451""";registrerad/registrerat;N1/Paketbil;Dacia;DOKKER;1461;UU18SDPJ563509227;Budtrans Waasa Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;5.9.2025;20.9.2027;Ja;108;;;;Dieselolja;Privat;5.11.2024;LähiTapiola;31.3.2025;11.11.2019;11.11.2019;;Nej;
