Registreringsnummer;Fordonets status;Fordonskategori;Märke;Handelsbeteckning;Slagvolym;Tillverkningsnummer;Ägare/innehavaren;Filial;Typ av ägande;Besittningsförhållande;Innehavarens namn;Begränsningar;Typ av överlåtelseanmälan;Intervallet för periodisk besiktning början;Intervallet för periodisk besiktning slut;Besiktning aktuell;CO2 Kombinerat;CO2 Viktat, kombinerat;WLTP CO2 kombinerad;WLTP CO2 viktade, blandad;Drivkraft;Fordonets användningsändamål;Ägarskapets startdatum;Försäkringsbolag;Försäkringens startdatum;Datum för första registrering;Ibruktagningsdatum;Utsläppsklass;Elhybrid;Typ av eldrivet hybridfordon
"=""DSF-414""";registrerad/registrerat;O2/Släpvagn;Blyss;;;WB2A250P2M0061107;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;28.10.2024;31.12.2026;Ja;;;;;;Privat;7.4.2026;LähiTapiola;9.12.2022;9.12.2022;9.12.2022;;Nej;
"=""427-SAA""";registrerad/registrerat;T/Traktor;Case IH;MX120-4X4/270;5880;JJE0964388;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;;;Nej;;;;;Dieselolja;Privat;16.4.2024;LähiTapiola;17.4.2024;3.7.2000;3.7.2000;;Nej;
"=""YIL-512""";avställd/avställt;N1/Paketbil;Citroen;BERLINGO;1560;VF77E9HF8DJ739367;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;5.11.2024;10.11.2025;Ja;122;;;;Dieselolja;Privat;12.6.2025;;;8.11.2013;8.11.2013;Euro 5;Nej;
"=""YIM-257""";registrerad/registrerat;N1/Paketbil;Citroen;BERLINGO;1560;VF77E9HF8DJ739370;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;19.12.2025;21.12.2026;Ja;122;;;;Dieselolja;Privat;24.9.2025;LähiTapiola;30.9.2025;11.11.2013;11.11.2013;Euro 5;Nej;
"=""YIM-259""";registrerad/registrerat;N1/Paketbil;Citroen;BERLINGO;1560;VF77E9HF8DJ743860;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;25.7.2025;27.7.2026;Ja;122;;;;Dieselolja;Privat;22.9.2025;LähiTapiola;30.9.2025;11.11.2013;11.11.2013;Euro 5;Nej;
"=""VVB-271""";registrerad/registrerat;N1/Paketbil;Citroen;BERLINGO;1560;VF77E9HF8DJ719704;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;27.9.2025;30.9.2026;Ja;122;;;;Dieselolja;Privat;3.10.2025;LähiTapiola;3.10.2025;30.9.2013;30.9.2013;Euro 5;Nej;
"=""RSL-802""";avställd/avställt;N1/Paketbil;Citroen;JUMPY;1997;VF7XURHHAGZ027176;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Befrielse från bilskatt;;7.5.2025;15.6.2026;Ja;189;;;;Dieselolja;Privat;23.9.2025;LähiTapiola;30.9.2025;15.6.2016;15.6.2016;;Nej;
"=""RSL-804""";registrerad/registrerat;N1/Paketbil;Citroen;JUMPY;1997;VF7XURHHAGZ026865;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;10.6.2025;15.6.2026;Ja;189;;;;Dieselolja;Privat;23.9.2025;LähiTapiola;30.9.2025;15.6.2016;15.6.2016;;Nej;
"=""MOH-170""";avställd/avställt;N1/Paketbil;Fiat;Fiat Fiorino;1248;ZFA22500000264669;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;28.11.2024;28.11.2025;Ja;109;;;;Dieselolja;Privat;17.5.2023;LähiTapiola;17.5.2023;17.5.2023;1.2.2012;Euro 5;Nej;
"=""GHY-366""";registrerad/registrerat;M1/Personbil;Ford;FOCUS;1560;WF0PXXGCDP8A57754;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Svens, Mikael Nils-Erik;;;12.1.2026;12.1.2027;Ja;118;;;;Dieselolja;Privat;26.7.2024;LähiTapiola;29.7.2024;27.1.2009;27.1.2009;;Nej;
