Registreringsnummer;Fordonets status;Fordonskategori;Märke;Handelsbeteckning;Slagvolym;Tillverkningsnummer;Ägare/innehavaren;Filial;Typ av ägande;Besittningsförhållande;Innehavarens namn;Begränsningar;Typ av överlåtelseanmälan;Intervallet för periodisk besiktning början;Intervallet för periodisk besiktning slut;Besiktning aktuell;CO2 Kombinerat;CO2 Viktat, kombinerat;WLTP CO2 kombinerad;WLTP CO2 viktade, blandad;Drivkraft;Fordonets användningsändamål;Ägarskapets startdatum;Försäkringsbolag;Försäkringens startdatum;Datum för första registrering;Ibruktagningsdatum;Utsläppsklass;Elhybrid;Typ av eldrivet hybridfordon
"=""FNK-418""";avställd/avställt;M1/Personbil;Ford;FIESTA;1388;WF0DXXGAJD7T52419;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;25.11.2022;27.11.2023;Ja;147;;;;Bensin;Privat;16.12.2022;LähiTapiola;16.12.2022;1.2.2019;23.10.2007;Euro 4;Nej;
"=""416-LX""";registrerad/registrerat;MUU/ÖVRIG;Massey Ferguson;MF185/2080;4060;MBH323455;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Svens, Björn Leif Johan;;;;;Nej;;;;;Dieselolja;Privat;26.8.2024;LähiTapiola;4.6.2025;;;;Nej;
"=""IUY-768""";avställd/avställt;N1/Paketbil;Mercedes-Benz;VITO 111 CDI;2140;WDF63960123308989;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;21.4.2022;21.4.2023;Ja;;;;;Dieselolja;Privat;28.4.2021;LähiTapiola;28.4.2021;12.3.2007;12.3.2007;;Nej;
"=""IUY-765""";avställd/avställt;N1/Paketbil;Mercedes-Benz;VITO 111 CDI;2140;WDF63960123309503;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;9.11.2022;9.11.2023;Ja;;;;;Dieselolja;Privat;27.11.2022;LähiTapiola;28.11.2022;8.3.2007;8.3.2007;;Nej;
"=""VTM-238""";avställd/avställt;MUU/ÖVRIG;Mercedes-Benz;914-42.5-37;5950;67402315097375;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;11.7.2023;11.7.2024;Ja;;;;;Dieselolja;Privat;12.7.2023;LähiTapiola;12.7.2023;;;;Nej;
"=""AKI-975""";avställd/avställt;N1/Paketbil;Mercedes-Benz;SPRINTER 308 CDI;2140;WDB9036622R912097;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;17.4.2024;22.4.2025;Ja;;;;;Dieselolja;Tillståndspliktig;22.12.2021;LähiTapiola;21.12.2021;27.11.2006;27.11.2006;;Nej;
"=""KLX-855""";registrerad/registrerat;M2/Buss;Mercedes-Benz;SPRINTER 516 CDI;2143;WDB9066571S447789;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;4.8.2025;4.8.2026;Ja;;;;;Dieselolja;Tillståndspliktig;2.8.2024;LähiTapiola;12.8.2024;9.6.2010;9.6.2010;;Nej;
"=""ERY-401""";registrerad/registrerat;N1/Paketbil;Mercedes-Benz;VITO 113CDI;2143;WDF63960123692362;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Postinjakajat Oy - Postutdelarna Ab;Befrielse från bilskatt;;17.11.2025;17.11.2026;Ja;211;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;30.11.2011;30.11.2011;Euro 5;Nej;
"=""YHX-511""";avställd/avställt;N1/Paketbil;Mercedes-Benz;VITO 113CDI;2143;WDF63960123692133;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;1.2.2023;1.2.2024;Ja;211;;;;Dieselolja;Privat;29.1.2020;LähiTapiola;3.2.2020;13.12.2011;13.12.2011;Euro 5;Nej;
"=""LZL-233""";avställd/avställt;N1/Paketbil;Mercedes-Benz;VITO;2143;WDF63960123664502;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;6.10.2021;6.10.2022;Ja;211;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;6.10.2011;6.10.2011;;Nej;
"=""YJE-740""";registrerad/registrerat;M1/Personbil;Mercedes-Benz;SPRINTER;2143;WDB9066331P339244;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Oravais Servicetrafik Ab;Befrielse från bilskatt;;3.11.2025;3.11.2026;Ja;188;;;;Dieselolja;Tillståndspliktig;23.11.2022;LähiTapiola;24.11.2022;26.1.2017;26.1.2017;;Nej;
"=""CLG-114""";registrerad/registrerat;M2/Buss;Mercedes-Benz;Sprinter;2987;WDB9066571P322171;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Oravais Servicetrafik Ab;;;10.4.2026;12.4.2027;Ja;;;;;Dieselolja;Tillståndspliktig;29.10.2021;LähiTapiola;29.10.2021;23.1.2017;23.1.2017;Euro VI;Nej;
"=""EUX-886""";registrerad/registrerat;M1/Personbil;Mercedes-Benz;E 300 de;1950;WDD2132161A606029;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Oravais Servicetrafik Ab;;;15.4.2026;20.4.2028;Ja;;44;;42;Dieselolja;Privat;9.5.2025;LähiTapiola;9.5.2025;2.8.2023;29.3.2019;Euro 6;Nej;(OVC-HEV) Extern uppladdning
"=""RVP-357""";registrerad/registrerat;M1/Personbil;Mercedes-Benz;E 300 de;1950;W1K2132161A860888;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Oravais Servicetrafik Ab;;;18.12.2025;18.12.2026;Ja;;42;;41;Dieselolja;Tillståndspliktig;2.12.2023;LähiTapiola;2.12.2023;5.12.2023;3.8.2020;Euro 6;Nej;(OVC-HEV) Extern uppladdning
"=""FSH-363""";registrerad/registrerat;N2/Lastbil;Mitsubishi Fuso;Canter;2998;TYBFE85SH6DV10862;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;12.1.2026;13.1.2027;Ja;;;;;Dieselolja;Privat;18.12.2025;LähiTapiola;18.12.2025;21.1.2025;18.12.2013;Euro V;Nej;
"=""SNB-741""";registrerad/registrerat;M1/Personbil;Opel;ASTRA SPORTS TOURER;1362;W0LPD8EUXC8029197;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Grankvist, Mikael Henrik Andreas;;;30.3.2026;30.3.2027;Ja;144;;;;Bensin;Privat;22.10.2025;IF;22.10.2025;28.3.2012;28.3.2012;;Nej;
"=""VMZ-417""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK4D4045974;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Oravais Servicetrafik Ab;Avställning. Periodisk besiktning har inte utförts/godkänts;;16.10.2020;7.11.2022;Ja;160;;;;Dieselolja;Privat;21.8.2021;LähiTapiola;23.8.2021;28.2.2013;28.2.2013;Euro 5;Nej;
"=""VMZ-419""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK2D4045813;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts;;28.2.2023;28.2.2024;Ja;160;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;21.9.2021;28.2.2013;28.2.2013;Euro 5;Nej;
"=""SLB-122""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK0D4058138;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;2.2.2023;2.2.2024;Ja;160;;;;Dieselolja;Privat;6.9.2021;LähiTapiola;1.8.2022;28.2.2013;28.2.2013;Euro 5;Nej;
"=""UTZ-526""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK5D4042226;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;19.4.2023;19.4.2024;Ja;160;;;;Dieselolja;Privat;10.3.2023;LähiTapiola;7.3.2023;28.2.2013;28.2.2013;Euro 5;Nej;
"=""VPZ-479""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK6D4044292;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;18.4.2024;22.4.2025;Ja;160;;;;Dieselolja;Privat;12.1.2024;LähiTapiola;15.1.2024;28.2.2013;28.2.2013;Euro 5;Nej;
"=""LSZ-566""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK7D4123213;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Returnering av bilskatt. Avställning. Periodisk besiktning har inte utförts/godkänts;;5.5.2023;6.5.2024;Ja;160;;;;Dieselolja;Privat;21.4.2023;LähiTapiola;5.5.2023;12.4.2013;12.4.2013;Euro 5;Nej;
"=""MLH-326""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK2D4122356;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Returnering av bilskatt. Avställning. Periodisk besiktning har inte utförts/godkänts;;16.3.2023;18.3.2024;Ja;160;;;;Dieselolja;Privat;22.1.2024;LähiTapiola;22.1.2024;12.4.2013;12.4.2013;Euro 5;Nej;
"=""MLH-354""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK8D4122510;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Returnering av bilskatt. Avställning. Periodisk besiktning har inte utförts/godkänts;;2.4.2024;2.4.2025;Ja;160;;;;Dieselolja;Privat;7.9.2023;LähiTapiola;19.9.2023;2.4.2013;2.4.2013;Euro 5;Nej;
"=""MOH-171""";avställd/avställt;M1/Personbil;Opel;MERIVA;1686;W0LSD9EK6E4044188;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning;;20.5.2025;20.5.2026;Ja;160;;;;Dieselolja;Privat;19.5.2023;LähiTapiola;3.3.2023;19.5.2023;26.11.2013;Euro 5;Nej;
"=""VEZ-174""";avställd/avställt;M2/Buss;Peugeot;Boxer;2999;VF3YEHMMC11717823;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;3.12.2021;5.12.2022;Ja;;;;;Dieselolja;Tillståndspliktig;9.7.2022;LähiTapiola;11.7.2022;17.10.2011;10.10.2011;Euro 5;Nej;
"=""EML-279""";registrerad/registrerat;N1/Paketbil;Peugeot;PARTNER;1560;VF37F9HF8DJ604143;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;17.6.2025;10.7.2026;Ja;122;;;;Dieselolja;Privat;25.11.2025;LähiTapiola;27.11.2025;25.6.2013;25.6.2013;Euro 5;Nej;
"=""GOZ-338""";registrerad/registrerat;N1/Paketbil;Renault;Kangoo;1197;VF1FW24J356630153;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;2.12.2025;18.1.2027;Ja;144;;;;Bensin;Privat;21.12.2021;LähiTapiola;21.9.2021;21.12.2021;16.1.2017;Euro 6;Nej;
"=""GOZ-336""";registrerad/registrerat;N1/Paketbil;Renault;Kangoo;1598;VF1FWD3BA51764874;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;2.12.2025;7.12.2026;Ja;190;;;;Bensin;Privat;21.12.2021;LähiTapiola;21.9.2021;21.12.2021;17.11.2014;Euro 5;Nej;
"=""GOZ-339""";registrerad/registrerat;N1/Paketbil;Renault;KANGOO;1197;VF1FW24J356630168;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;6.11.2023;6.11.2025;Ja;144;;;;Bensin;Privat;21.12.2021;LähiTapiola;21.9.2021;21.12.2021;21.4.2017;Euro 6;Nej;
"=""GOZ-337""";registrerad/registrerat;N1/Paketbil;Renault;" Umpikorinen (BB) 6ov 1197cm3 A";1197;VF1FW24J360201191;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;1.11.2023;3.11.2025;Ja;144;;;;Bensin;Privat;21.12.2021;LähiTapiola;21.9.2021;21.12.2021;28.5.2018;Euro 6;Nej;
"=""ENY-134""";registrerad/registrerat;N1/Paketbil;Skoda;YETI;1197;TMBKF75L4C6033247;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Postinjakajat Oy - Postutdelarna Ab;;;23.3.2026;23.3.2027;Ja;149;;;;Bensin;Privat;1.9.2021;LähiTapiola;1.9.2021;2.1.2012;2.1.2012;Euro 5;Nej;
"=""XXY-383""";registrerad/registrerat;N1/Paketbil;Skoda;YETI;1197;TMBKF75LXB6058930;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;19.6.2025;25.6.2026;Ja;149;;;;Bensin;Privat;21.3.2023;LähiTapiola;21.3.2023;31.8.2011;31.8.2011;;Nej;
"=""ETI-680""";avställd/avställt;N1/Paketbil;Skoda;YETI;1197;TMBKF75L9B6057848;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;10.5.2023;10.5.2024;Ja;149;;;;Bensin;Privat;20.7.2023;;;12.7.2011;12.7.2011;;Nej;
"=""CIX-434""";avställd/avställt;N1/Paketbil;Skoda;YETI;1197;TMBKF75L8D6012435;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;1.3.2023;2.4.2024;Ja;149;;;;Bensin;Privat;12.9.2023;;;7.9.2012;7.9.2012;Euro 5;Nej;
"=""SKI-501""";registrerad/registrerat;M1/Personbil;Suzuki;GRAND VITARA XL-7;2730;JSAHTX92V00209561;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Stenmark, Sebastian Allan Simon;;;7.11.2025;9.11.2026;Ja;282;;;;Bensin;Privat;16.3.2021;Suomen Vahinkovakuutus;10.11.2025;5.12.2005;5.12.2005;;Nej;
"=""TYV-247""";avställd/avställt;N1/Paketbil;Volkswagen;TRANSPORTER;2460;WV2ZZZ70Z3H125172;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;22.12.2021;22.12.2022;Ja;;;;;Dieselolja;Privat;24.6.2021;LähiTapiola;22.6.2021;7.10.2003;7.10.2003;;Nej;
"=""UMY-968""";avställd/avställt;N1/Paketbil;Volkswagen;TRANSPORTER;2460;WV2ZZZ7HZ5H094475;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;6.3.2021;7.3.2022;Ja;;;;;Dieselolja;Privat;30.9.2021;LähiTapiola;30.9.2021;31.10.2005;31.10.2005;;Nej;
"=""MUI-805""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1890;WV1ZZZ2KZ7X098889;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;6.9.2023;6.9.2024;Ja;;;;;Dieselolja;Privat;2.2.2023;LähiTapiola;3.2.2023;31.7.2007;31.7.2007;;Nej;
"=""IYT-418""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ8X123093;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;19.2.2025;19.2.2026;Ja;177;;;;Dieselolja;Privat;21.2.2025;LähiTapiola;21.2.2025;5.6.2008;5.6.2008;;Nej;
"=""XLY-496""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ8X090806;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;7.2.2025;9.2.2026;Ja;177;;;;Dieselolja;Privat;21.10.2024;LähiTapiola;11.11.2024;26.3.2008;26.3.2008;;Nej;
"=""IXE-834""";registrerad/registrerat;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ8X147462;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;15.9.2025;15.9.2026;Ja;177;;;;Dieselolja;Privat;12.8.2023;LähiTapiola;13.8.2023;21.8.2008;21.8.2008;;Nej;
"=""ZBZ-422""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ8X136759;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;10.11.2022;20.11.2023;Ja;177;;;;Dieselolja;Privat;4.4.2023;;;15.12.2008;15.12.2008;;Nej;
"=""BBZ-113""";registrerad/registrerat;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ8X154504;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;13.6.2025;15.6.2026;Ja;177;;;;Dieselolja;Privat;4.6.2024;LähiTapiola;5.6.2024;21.10.2008;21.10.2008;;Nej;
"=""HBY-427""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ8X146612;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning;;15.9.2025;15.9.2026;Ja;177;;;;Dieselolja;Privat;16.9.2024;LähiTapiola;16.9.2024;20.8.2008;20.8.2008;;Nej;
"=""BKZ-114""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ9X088186;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;24.2.2023;11.3.2024;Ja;177;;;;Dieselolja;Privat;15.1.2024;;;29.1.2009;29.1.2009;;Nej;
"=""BJZ-839""";registrerad/registrerat;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ9X088492;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;14.4.2026;14.4.2027;Ja;177;;;;Dieselolja;Privat;24.10.2024;LähiTapiola;11.11.2024;13.2.2009;13.2.2009;;Nej;
"=""BJZ-861""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ9X089339;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;25.10.2022;15.11.2023;Ja;177;;;;Dieselolja;Privat;19.1.2024;;;24.2.2009;24.2.2009;;Nej;
"=""FJN-432""";avställd/avställt;N1/Paketbil;Volkswagen;Caddy;1896;WV1ZZZ2KZAX042469;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts;;23.1.2024;3.2.2025;Ja;174;;;;Dieselolja;Privat;7.11.2024;LähiTapiola;11.11.2024;20.1.2010;20.1.2010;;Nej;
"=""OMZ-339""";avställd/avställt;N1/Paketbil;Volkswagen;Caddy;1896;WV1ZZZ2KZAX039662;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning. Periodisk besiktning har inte utförts/godkänts. Återkallelse;;6.2.2025;9.2.2026;Ja;174;;;;Dieselolja;Privat;30.12.2024;LähiTapiola;8.1.2025;18.1.2010;18.1.2010;;Nej;
"=""LYY-814""";avställd/avställt;N1/Paketbil;Volkswagen;Caddy;1896;WV1ZZZ2KZAX037072;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning;;25.11.2025;25.11.2026;Ja;174;;;;Dieselolja;Privat;18.7.2023;LähiTapiola;17.7.2023;13.11.2009;13.11.2009;;Nej;
"=""MKH-390""";avställd/avställt;N1/Paketbil;Volkswagen;TRANSPORTER;1968;WV1ZZZ7HZBH024258;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;3.12.2020;22.12.2021;Ja;211;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;22.12.2010;22.12.2010;;Nej;
"=""MAZ-660""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX127451;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning;;19.11.2025;19.11.2026;Ja;174;;;;Dieselolja;Privat;2.12.2024;LähiTapiola;4.12.2024;29.11.2010;29.11.2010;;Nej;
"=""EKZ-170""";registrerad/registrerat;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX140789;Oravais Servicetrafik Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;15.1.2026;10.2.2027;Ja;174;;;;Dieselolja;Privat;14.2.2025;LähiTapiola;14.2.2025;9.12.2010;9.12.2010;;Nej;
